城市,代码,链接
宁海,10134,//jobs.zhaopin.com/ningbo_re3372/
怒江,844,//www.zhaopin.com/nujiang/
南非,519,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=519&sm=0&p=1&sf=0
尼日利亚,915,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=915&sm=0&p=1&sf=0
挪威,511,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=511&sm=0&p=1&sf=0
平顶山,722,//www.zhaopin.com/pingdingshan/
莆田,683,//www.zhaopin.com/putian/
濮阳,727,//www.zhaopin.com/puyang/
盘锦,609,//www.zhaopin.com/panjin/
普宁,3404,//www.zhaopin.com/puning/
萍乡,693,//www.zhaopin.com/pingxiang/
攀枝花,803,//www.zhaopin.com/panzhihua/
平度,2162,//www.zhaopin.com/pingdu/
平湖,10052,//jobs.zhaopin.com/jiaxing_re3379/
平凉,871,//www.zhaopin.com/pingliang/
普洱,10163,//www.zhaopin.com/puer/
葡萄牙,515,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=515&sm=0&p=1&sf=0
青岛,703,//www.zhaopin.com/qingdao/
秦皇岛,567,//www.zhaopin.com/qinhuangdao/
青海,558,//www.zhaopin.com/qinghai/
清远,778,//www.zhaopin.com/qingyuan/
泉州,685,//www.zhaopin.com/quanzhou/
齐齐哈尔,623,//www.zhaopin.com/qiqihaer/
曲靖,832,//www.zhaopin.com/qujing/
衢州,660,//www.zhaopin.com/quzhou/
黔西南,827,//www.zhaopin.com/qianxinan/
七台河,630,//www.zhaopin.com/qitaihe/
启东,10136,//jobs.zhaopin.com/nantong_re3395/
潜江,10169,//www.zhaopin.com/qianjiang/
黔东南,829,//www.zhaopin.com/qiandongnan/
黔南,830,//www.zhaopin.com/qiannan/
钦州,791,//www.zhaopin.com/qinzhou/
庆阳,873,//www.zhaopin.com/qingyang/
琼海,10153,//www.zhaopin.com/qionghai/
琼中,10192,//jobs.zhaopin.com/qiongzhonglizumiaozuzizhi/
泉港区,686,//jobs.zhaopin.com/quanzhou_re3400/
其他国家,512,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=512&sm=0&p=1&sf=0
日照,712,//www.zhaopin.com/rizhao/
日喀则,850,//www.zhaopin.com/rikeze/
荣成,912,//jobs.zhaopin.com/weihai_re3368/
如皋,10051,//jobs.zhaopin.com/nantong_re3394/
乳山,10060,//jobs.zhaopin.com/weihai_re3367/
瑞安,10128,//jobs.zhaopin.com/wenzhou_re3385/
日本,505,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=505&sm=0&p=1&sf=0
瑞典,521,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=521&sm=0&p=1&sf=0
瑞士,522,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=522&sm=0&p=1&sf=0
上海,538,//www.zhaopin.com/shanghai/
深圳,765,//www.zhaopin.com/shenzhen/
沈阳,599,//www.zhaopin.com/shenyang/
石家庄,565,//www.zhaopin.com/shijiazhuang/
三亚,800,//www.zhaopin.com/sanya/
汕头,767,//www.zhaopin.com/shantou/
商丘,732,//www.zhaopin.com/shangqiu/
